,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
39399,92,Henri Abele 2008 Le Sourire de Reims Rosé Brut Pinot Noir (Champagne),"Made from Pinot Noir grown in the Aube village of Les Riceys, this deep-colored rosé is rich with red fruits and as well as a more mature, toasty character. It's spicy, full in the mouth and ripe. The aftertaste continues the full, generous character of the wine.",Roger Voss,@vossroger,87.0,Le Sourire de Reims Rosé Brut,Pinot Noir,Champagne,,Champagne,France,Henri Abele,,
39400,92,29 & Oak Wines 2013 Reserve Cabernet Sauvignon (Oakville),"A handful of Pritchard Hill Petit Verdot adds color and vibrancy to this impressive wine, sinewy in leather, black pepper and robust cigar. Currant and cedar highlights make for a classic profile, with firm, integrated tannin in support. This wine should do well in the cellar, finding its peak between 2021 and 2023.",Virginie Boone,@vboone,85.0,Reserve,Cabernet Sauvignon,Oakville,Napa,California,US,29 & Oak Wines,,
39401,92,Abadia Retuerta 2013 Pago Negralada Tempranillo (Vino de la Tierra de Castilla y León),"Despite cool conditions in 2013, this is a ripe, healthy Tempranillo. On the nose, wood grain, sawdust, clove and citrus notes are as prominent as berry aromas. The palate feels tight and racy, with pronounced acidity and strong tannins. Flavors of clove, peppery spice and raw oak sit on top of a bed of berry fruit, while a reprise of oak character drives the finish. Drink through 2025.",Michael Schachner,@wineschach,100.0,Pago Negralada,Tempranillo,Vino de la Tierra de Castilla y León,,Northern Spain,Spain,Abadia Retuerta,,
39402,92,Real Companhia Velha 2014 Quinta dos Aciprestes Reserva Red (Douro),"Aged for a year in oak, this is a rich, smooth and densely textured wine. Full of black fruits, the wine comes from a vineyard facing north across the Douro river. This impressive Reserva is still developing and should be ready from 2018.",Roger Voss,@vossroger,25.0,Quinta dos Aciprestes Reserva,Portuguese Red,,,Douro,Portugal,Real Companhia Velha,,
39403,92,Brian Benson 2013 Western Widow Caliza Vineyard Syrah (Paso Robles),"Enhanced with 5% Roussanne, this bottling offers deep blueberry and blackberry fruit on the nose alongside touches of black licorice, oak smoke, sandalwood and caramel. Hints of juniper and pine needle show on the thick palate, giving a bitter complement to the thick and unctuous blueberry and fudge flavors.",Matt Kettmann,@mattkettmann,55.0,Western Widow Caliza Vineyard,Syrah,Paso Robles,Central Coast,California,US,Brian Benson,,
39404,92,Cedarville 2013 Estate Bottled Syrah (El Dorado),"An aroma like charcoal and fennel leads to concentrated smoke and black-pepper flavors and a taut, tannic texture before more generous nuances like black cherry and savory lentils kick in. It's a fascinating wine that develops more layers and complexity as it breathes. Best after 2019.",Jim Gordon,@gordone_cellars,29.0,Estate Bottled,Syrah,El Dorado,Sierra Foothills,California,US,Cedarville,,
39405,92,Château Barbé 2014  Blaye Côtes de Bordeaux,"This Bayle-Carreau wine, one of five fifth-generation family estates, is balanced between the dry core of tannins and the ripe black fruit. With acidity and a fine structure, it has great potential. As it develops the wine will show richness as well as concentration. Drink from 2018.",Roger Voss,@vossroger,45.0,,Bordeaux-style Red Blend,Blaye Côtes de Bordeaux,,Bordeaux,France,Château Barbé,,
39406,92,Domaine de l'A 2014  Castillon Côtes de Bordeaux,"While this Stephané Derenoncourt wine has dry tannins, it also has ripe fruit and blackberry flavors. Concentrated and firm for now, from 18 months in barrel, it will develop well to give a rich wine in the future. Drink from 2019.",Roger Voss,@vossroger,50.0,,Bordeaux-style Red Blend,Castillon Côtes de Bordeaux,,Bordeaux,France,Domaine de l'A,,
39407,92,Dr. Heidemanns-Bergweiler 2015 Bernkasteler alte Badstube am Doctorberg Kabinett Riesling (Mosel),"While the nose of this ethereal, lithe Riesling is a bit bashful, glorious shades of tangerine, quince and peach await on the palate. High-toned acidity pierces through sweet honey and nectar, darting into a long, minerally finish. It's stunning now, but should develop with integrity for at least another decade.",Anna Lee C. Iijima,,28.0,Bernkasteler alte Badstube am Doctorberg Kabinett,Riesling,,,Mosel,Germany,Dr. Heidemanns-Bergweiler,,
39408,92,Elk Cove 2014 La Bohème Pinot Noir,"Still wrapped up tight, as are most of the 2014s from Elk Cove, this offers juicy fruit flavors of pomegranate and raspberry, supported by fresh acidity that promises some years of aging potential. This harmonious, flavorful wine should be drunk from 2018–2030.",Paul Gregutt,@paulgwine ,60.0,La Bohème,Pinot Noir,Willamette Valley,,Oregon,US,Elk Cove,,
39411,92,Marco Abella 2012 Clos Abella Red (Priorat),"This ripe Carignan-Garnacha from a warm year smells of prune, vanilla, cola and violet petals. The palate is open and wide, with raw tannins and a sensation of resiny oak. Flavors of black plum, red and black currants, toast and barrel spice finish toasty, chocolaty and much like coffee, with tannic grab and just enough acidity to keep things lively. Drink through 2024.",Michael Schachner,@wineschach,90.0,Clos Abella,Red Blend,Priorat,,Catalonia,Spain,Marco Abella,,
39412,92,Penner-Ash 2014 Hyland Vineyard Pinot Noir (McMinnville),"This much-admired vineyard brings exotic scents of ripe black-cherry fruit soaked in Asian spices. The wine is compact and powerful, with strong tannins and a light whiff of tar. Drink 2018 through 2026.",Paul Gregutt,@paulgwine ,65.0,Hyland Vineyard,Pinot Noir,McMinnville,Willamette Valley,Oregon,US,Penner-Ash,,
39413,92,Penner-Ash 2015 Viognier (Oregon),"Viognier is a particular strength at Penner-Ash, and here, once again, the challenge of balancing the grape's high-wire sensibility is met with ease. Firm and compact initially, it blooms with delicious flavors of lemon pastry, hints of mint, and lemongrass. It's full bodied, poised and steers clear of both bitterness and burn.",Paul Gregutt,@paulgwine ,35.0,,Viognier,Oregon,Oregon Other,Oregon,US,Penner-Ash,,
39414,92,Robert Biale 2014 Varozza Vineyard Zinfandel (St. Helena),"A warm site first planted in 1913 in the heart of the appellation, this vineyard also holds Cabernet Sauvignon and Petite Sirah. This wine is hearty and deceptively elegant, mixing flavors and aromas of rum raisin, leather and clove. Gentle tannins wrap around a finishing brightness of red and black berry.",Virginie Boone,@vboone,50.0,Varozza Vineyard,Zinfandel,St. Helena,Napa,California,US,Robert Biale,,
39415,92,Talbott 2014 Audrey Diamond T Vineyard Estate Grown Chardonnay (Monterey),"Pungent citrus notes of kumquat, tangerine, Meyer-lemon pith and grapefruit give depth to accents of apple blossom and toasty seared lemon. This well-constructed wine shows Meyer lemon-rind flavors, a pithy grip and a touch of almond that provides richness to the midpalate.",Matt Kettmann,@mattkettmann,75.0,Audrey Diamond T Vineyard Estate Grown,Chardonnay,Monterey,Central Coast,California,US,Talbott,,
39416,92,Terrazze dell'Etna 2011 Rosé Brut Metodo Classico Red (Vino Spumante),"Elegant and refreshing, this vibrant blend of 90% Pinot Nero and 10% Nerello Mascalese opens with alluring scents of red berry, Mediterranean herb and a whiff of bread crust. The creamy palate delivers fresh strawberry, tart cherry, tangerine and mint alongside tangy acidity and a refined perlage. Energizing mineral closes the finish.",Kerin O’Keefe,@kerinokeefe,34.0,Rosé Brut Metodo Classico,Red Blend,Vino Spumante,,Italy Other,Italy,Terrazze dell'Etna,,
39417,92,Testarossa 2014 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),"A touch of campfire smoke invites the nose into this bottling from a historic vineyard. It also offers aromas of dark cranberry, black raspberry, chipped slate and roasting meat. The cran-raspberry element explodes on the generous palate, backed by that familiar smoke, which is laced throughout this wine.",Matt Kettmann,@mattkettmann,64.0,Sierra Madre Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Testarossa,,
39418,92,Murgo 2012 Brut Rosé Metodo Classico Nerello Mascalese (Vino Spumante),"Fresh and refined, this has aromas of small red berry, yellow wild flower, tangerine and baking spice. The creamy, quenching palate doles out strawberry, red cherry and orange zest framed in crisp acidity and a lively, elegant perlage.",Kerin O’Keefe,@kerinokeefe,26.0,Brut Rosé Metodo Classico,Nerello Mascalese,Vino Spumante,,Italy Other,Italy,Murgo,,
39419,92,Quinta das Carvalhas 2013 Reserva Red (Douro),"This limited-release wine is a selection in the cellar from key parcels of this dramatic vineyard. With well-balanced spice and toast from 12 months in wood, it is richly endowed with dark fruits, rich black currants and black-plum flavors. The wine is full-bodied, rich and still packed with youthful fruitiness. Drink from 2019. If you go, hike up to their panoramic Casa Redonda at 1,800 feet.",Roger Voss,@vossroger,25.0,Reserva,Portuguese Red,,,Douro,Portugal,Quinta das Carvalhas,,
39614,92,J. Christopher 2013 Sandra Adele Unfiltered Pinot Noir (Dundee Hills),"In a strong lineup of beautifully balanced Pinots, this cuvée shows just a touch more stem and leaf, and keeps the fruit on the tart end of the berry and cherry spectrum. The tannins remain a bit stiff and unyielding, but overall the punch and weight suggest that this is a wine bound for further development and improvement in bottle. Drink 2018–2025.",Paul Gregutt,@paulgwine ,58.0,Sandra Adele Unfiltered,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,J. Christopher,,
39615,92,Kanzler 2013 Chardonnay (Russian River Valley),"Concentrated, delicious fruit flavors and subtle spiciness make a great combination in this harmonious and full-bodied wine. There is no obvious oak character, but it tastes like a gently barrel-fermented wine that developed hints of cream, nutmeg and honey along with a river of ripe pear and peach.",Jim Gordon,@gordone_cellars,42.0,,Chardonnay,Russian River Valley,Sonoma,California,US,Kanzler,,
39616,92,Kings Mountain 2012 Pinot Noir (Santa Cruz Mountains),"The winery's annual 100% new French-oak bottling, this is rich and smoky, with heavily clove-laced blackberry and blueberry juice, dark strawberry, nutmeg and gingerbread spice on the nose. Similar flavors show on the palate, from mace to dried ginger. A bright red-cherry and cranberry character lifts the sip, as does the juniper and forest-floor finish.",Matt Kettmann,@mattkettmann,65.0,,Pinot Noir,Santa Cruz Mountains,Central Coast,California,US,Kings Mountain,,
39617,92,Wine & Soul 2013 Manoella Red (Douro),Vines aged 35 years and more go into this wine. It has great power and concentration while also having beautiful ripe fruit. Big-hearted berry flavors are balanced by some serious tannins that promise medium-term aging. Drink this wine soon from 2017 or even better wait until 2018.,Roger Voss,@vossroger,22.0,Manoella,Portuguese Red,,,Douro,Portugal,Wine & Soul,,
39618,92,Baiocchi Wines 2013 Sharon's Vineyard Grenache (Fair Play),"Fresh, enticing fruit aromas and a smooth yet firm texture make this full-bodied wine hard to resist. Toasted oak, ripe berries and cherries gush from the glass, and light tannins add grip to the generous mouthfeel.",Jim Gordon,@gordone_cellars,39.0,Sharon's Vineyard,Grenache,Fair Play,Sierra Foothills,California,US,Baiocchi Wines,,
39619,92,Big Basin 2013 Coastview Vineyard Pinot Noir (Monterey County),"Made with only 30% whole-cluster, this bottling by Bradley Brown allows lusher red-cherry fruit to show on the nose, alongside slate, mint and sandalwood notes. Those same red-cherry elements meet with cranberry on the palate, growing more complex as layers of graphite, bay leaf, pine needle and turned forest floor arise.",Matt Kettmann,@mattkettmann,44.0,Coastview Vineyard,Pinot Noir,Monterey County,Central Coast,California,US,Big Basin,,
39620,92,Black Kite 2013 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),"Cinnamon and spearmint elements give depth to the pinpoint, laser-sharp fruit notes of cherry blossom and strawberry on this bottling. Strong herbal flavors of thyme and marjoram and spices of green cardamom of peppercorn hit the palate right away, seasoning cranberry and pomegranate fruit, and finishing on a slate minerality.",Matt Kettmann,@mattkettmann,55.0,Soberanes Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,US,Black Kite,,
39621,92,Château Lamartine 2012 Expression Malbec (Cahors),"This top wine from Lamartine is a fine, solid expression of the firm nature of young Malbec. It has dark, dense black fruits layered behind the dry, tight tannins. With this concentration, this is a wine that needs to age. Leave until 2020.",Roger Voss,@vossroger,23.0,Expression,Malbec,Cahors,,Southwest France,France,Château Lamartine,,
39622,92,Domaine de la Tour du Bief 2010  Moulin-à-Vent,"A selection from parcels of vines in the La Rochelle section of Moulin à Vent, this wine comes from one of top recent vintages in Beaujolais. It is rich and packed with mature fruit. There are acidity, integrated tannins and secondary flavors of juicy acidity and smokiness. It is ready to drink. Owner Jean-Jacqus Parinet left the IT world for wine and bought Château Moulin-à-Vent in 2009 and Bief in 2012.",Roger Voss,@vossroger,35.0,,Gamay,Moulin-à-Vent,,Beaujolais,France,Domaine de la Tour du Bief,,
39623,92,Etude 2013 Deer Camp Vineyard Grace Benoist Ranch Estate Grown Pinot Noir (Carneros),"From a section of the rocky vineyard planted to the Martini clone, a thick-skinned grape, Deer Camp is full bodied, densely concentrated and marked by a streak of spiciness throughout. It's perfumed with roses and forest floor, while it presents a texture that is seductively velvety and smooth.",Virginie Boone,@vboone,75.0,Deer Camp Vineyard Grace Benoist Ranch Estate Grown,Pinot Noir,Carneros,Napa-Sonoma,California,US,Etude,,
39624,92,Fess Parker 2013 Clone 115 Pinot Noir (Sta. Rita Hills),"Distinct aromas of sour plum and dried pomegranate meet with damp tobacco, forest floor, green olive and Greek spice on the nose of this clonal study. It's herbal on the palate, with oregano, marjoram and green cardamom notes, alongside cranberry and red cherry fruit in the midpalate. Altogether, it's a light, bright and highly seasoned wine.",Matt Kettmann,@mattkettmann,55.0,Clone 115,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Fess Parker,,
39625,92,Finca La Emperatriz 2011 Parcela No 1  (Rioja),"This small-production Rioja (under 200 cases) is focused, minerally and lightly charred up front, with blackberry, cassis and vanilla aromas. A flush, bright not-too-heavy palate offers lively black cherry and blackberry flavors accented by creamy vanilla and char. A medium-long, elegant finish with healthy acidity indicates that this will age nicely through about 2023.",Michael Schachner,@wineschach,78.0,Parcela No 1,Tempranillo,Rioja,,Northern Spain,Spain,Finca La Emperatriz,,
39626,92,Georges Vigouroux 2012 Château Pech de Jammes Malbec (Cahors),"A beautifully perfumed wine that comes from vines planted in the 1980s. Touches of the wood aging are apparent, along with the black plum and berry fruits. It's a dense while also elegant wine with acidity and fresh fruitiness alongside the complex structure. Drink this wine from 2019.",Roger Voss,@vossroger,25.0,Château Pech de Jammes,Malbec,Cahors,,Southwest France,France,Georges Vigouroux,,
39644,92,Planeta 2005 Burdese Red (Sicilia),"Inspired by the Bordeaux tradition and made from a blend of Cabs Sauvignon and Franc, Burdese is a rich and perfumed wine with penetrating notes of blackberry, currants, tobacco and exotic spice. It is full bodied and concentrated without being overextracted thanks to its vibrant red fruit flavors, silky tannins and long finish.",,,39.0,Burdese,Red Blend,Sicilia,,Sicily & Sardinia,Italy,Planeta,,
39645,92,Soldera 2001 Case Basse  (Brunello di Montalcino),"It's safe to say that Gianfranco Soldera's style is only appreciated and understood by Brunello purists. The wines are as thorny and complex as the argumentative, cantankerous man who makes them. For one, this wine has big volatility but the magic here is that those pungent direct aromas translate into bright aromatic vibrancy and buoyancy. In fact, its intensity and the careful balance between acidity and structure is unmatched.",,,293.0,Case Basse,Sangiovese,Brunello di Montalcino,,Tuscany,Italy,Soldera,,
39646,92,Terra Valentine 2004 Wurtele Vineyard Cabernet Sauvignon (Spring Mountain District),"This is a great vineyard that has sourced great Cabs for Terra Valentine. A barrel sample of the '04, tasted more than 2 years ago, showed ageability. Now that it has been released, the wine is still very young and filled with potential. Thick in black currants, cherries and oak, it needs much more time. Best after 2010.",,,58.0,Wurtele Vineyard,Cabernet Sauvignon,Spring Mountain District,Napa,California,US,Terra Valentine,,
39647,92,Edna Valley Vineyard 2005 Reserve Pinot Noir (Edna Valley),"Shows a degree of complexity that's rare in an Edna Valley Pinot, where fruit and acidity are easy, but layers of depth are hard. You'll find upfront cola, cherry, licorice, persimmon and smoky oak flavors, with deeper notes of sautéed wild mushrooms and sweet mulch. Should age well for six to eight years.",,,45.0,Reserve,Pinot Noir,Edna Valley,Central Coast,California,US,Edna Valley Vineyard,,
39648,92,Far Niente 2004 Cabernet Sauvignon (Oakville),"Far Niente has produced a tannic, drily astringent young wine that's nowhere near ready to drink. It's tough as nails, with a gritty astringency that locks down the black currant and dark, unsweetened chocolate flavors. But it is a very balanced, distinguished wine that should easily negotiate the next 10 or 15 years, with proper cellaring.",,,120.0,,Cabernet Sauvignon,Oakville,Napa,California,US,Far Niente,,
39649,92,Quinta de Ventozelo 2005 Vintage  (Port),"Dense, dusty, structured, tannic, dry wine, that promises aging potential. It is definitely young, dark with plum skin fruits, power and richness, that go along with excellent acidity.",Roger Voss,@vossroger,70.0,Vintage,Port,,,Port,Portugal,Quinta de Ventozelo,,
39650,92,Treana 2004 Red (Paso Robles),"Cabernet Sauvignon gives this wine a luscious, elegant mouthfeel, with classic currant and cedar flavors. Syrah brings a gamy, leathery note, with white pepper accents. The result is an interesting, complex young wine of power and authority. Drink now.",,,52.0,,Red Blend,Paso Robles,Central Coast,California,US,Treana,,
39651,92,Mark Ryan 2005 Wild Eyed Red (Red Mountain),"Red Mountain fruit from three different sites is used to create this delicious Syrah, laced with powerful flavors of coffee liqueur and chocolate. Cofermented with a dash of Viognier, it's satiny and citrusy, speckled with pepper, and maintains an elegant precision for a wine that offers such richness.",Paul Gregutt,@paulgwine ,40.0,Wild Eyed,Red Blend,Red Mountain,Columbia Valley,Washington,US,Mark Ryan,,
40274,92,Les Vins de Vienne 2010 L'Arzelle  (Saint-Joseph),"A big step up from the 2009, the 2010 L'Arzelle is nuanced and silky. Pepper, porcini and plum pudding scents grace the nose, while the palate delivers dark fruit, black olive and espresso flavors that ease into a long finish. Drink now–2018.",Joe Czerwinski,@JoeCz,49.0,L'Arzelle,Syrah,Saint-Joseph,,Rhône Valley,France,Les Vins de Vienne,,
40275,92,Villa Raiano 2012 Contrada Marotta  (Greco di Tufo),"This gorgeous expression boasts an intense bouquet of stone fruit, flint and Mediterranean herbs. The juicy palate delivers concentrated peach, citrus and pink grapefruit flavors, accented by mineral and mint. It has structure, elegance and incredible energy.",Kerin O’Keefe,@kerinokeefe,38.0,Contrada Marotta,Greco,Greco di Tufo,,Southern Italy,Italy,Villa Raiano,,
40276,92,Alex Gambal 2011  Puligny-Montrachet,"A textured wine, it's still very crisp, tight and closed up, only just hinting at a more fruity side. Waiting a few years will reveal the delicious citrus, peach and vanilla flavors that will show how generous and rich this wine really is. Don't touch before 2017.",Roger Voss,@vossroger,62.0,,Chardonnay,Puligny-Montrachet,,Burgundy,France,Alex Gambal,,
40277,92,Ànima Negra 2011 Àn Red (Vi de la Terra Mallorca),"With so few Mallorcan wines on the market, Anima Negra operates in a vacuum. Thankfully the winery excels with this red made from the local Callet grape. Dry, light, spicy aromas of sandalwood, tobacco and cherry come in front of a medium-bodied, creamy and oaky palate. Flavors of ripe yet spicy cherry and plum finish with notes of wood smoke and baking spices. Drink this unique wine through 2024.",Michael Schachner,@wineschach,50.0,Àn,Red Blend,Vi de la Terra Mallorca,,Spanish Islands,Spain,Ànima Negra,,
40278,92,Biondi 2012 San Nicolò  (Etna),"This luminous, ruby colored wine opens with a lovely bouquet of violet, rose, new leather, woodland berry and baking spice. The bright palate is loaded with finesse and smooth tannins, deliveing crushed red cherry and wild strawberry accented by clove and cinnamon. Enjoy now through 2020.",Kerin O’Keefe,@kerinokeefe,60.0,San Nicolò,Nerello Mascalese,Etna,,Sicily & Sardinia,Italy,Biondi,,
40279,92,Bouchard Père & Fils 2011 Les Lavières Premier Cru  (Savigny-lès-Beaune),"The light, stony soil of Les Lavières produces structured, tight and firm wines, unlike many of the softer wines from Savigny. With new wood and licorice flavors, it is darkly textured and firm. The red fruits are still developing, showing the rich potential of the wine. Drink from 2017.",Roger Voss,@vossroger,60.0,Les Lavières Premier Cru,Pinot Noir,Savigny-lès-Beaune,,Burgundy,France,Bouchard Père & Fils,,
40280,92,Va Piano 2011 Estate Vineyard Syrah (Walla Walla Valley (WA)),"Rich and aromatic, this black label reserve displays excellent power and concentration. A dense core of cassis, licorice and espresso is brightened with vivid acidity, slowing fading through a long, smoky finish. Wait until 2016 for optimum enjoyment.",Paul Gregutt,@paulgwine ,60.0,Estate Vineyard,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Va Piano,,
40281,92,Valle dell'Acate 2011  Cerasuolo di Vittoria Classico,"Made from a blend of Nero d'Avola and Frappato, this gorgeous wine offers intense fragrances of blue flower, forest floor, pine sap and woodland berry. The smooth, juicy palate delivers concentrated raspberry and black cherry flavors, with hints of licorice and Mediterranean herbs.",Kerin O’Keefe,@kerinokeefe,28.0,,Red Blend,Cerasuolo di Vittoria Classico,,Sicily & Sardinia,Italy,Valle dell'Acate,,
40282,92,L'Ecole No. 41 2011 Ferguson Vineyard Estate Grown Cabernet Sauvignon-Merlot-Cabernet Franc Red (Walla Walla Valley (WA)),"Ferguson is L'Ecole's newest estate vineyard, and this Bordeaux-style blend marks its single-vineyard debut. It's 57% Cabernet Sauvignon, 32% Merlot and 11% Cabernet Franc, grown at 1,500 feet in almost pure basalt. The minerality is a signature trait, along with raspberry, cassis and wild cherry fruit flavors. This seems sure to improve by 2020–2022.",Paul Gregutt,@paulgwine ,60.0,Ferguson Vineyard Estate Grown Cabernet Sauvignon-Merlot-Cabernet Franc,Bordeaux-style Red Blend,Walla Walla Valley (WA),Columbia Valley,Washington,US,L'Ecole No. 41,,
40283,92,Matarromera 2010 Reserva  (Ribera del Duero),"Balsam wood, coconut, tobacco and black-fruit aromas feed into a lush, easygoing palate with smooth tannins and lots of weight. This is ripe in raisin and prune flavors along with savory berry, cumin and baking spice notes. A chunky finish delivers chocolate and tobacco flavors but not much bite or structure. Drink through 2019.",Michael Schachner,@wineschach,55.0,Reserva,Tempranillo,Ribera del Duero,,Northern Spain,Spain,Matarromera,,
40284,92,Montevetrano 2010 Montevetrano Red (Colli di Salerno),"This structured yet polished wine, made from a blend of 50% Cabernet Sauvignon, 30% Aglianico and 20% Merlot, opens with intense aromas of tilled earth, mature black fruit, leather, graphite and spice. The Juicy palate offers fleshy blackberry, black currant, black pepper and mineral alongside silky smooth tannins. Hold for more complexity. Drink 2015–2025.",Kerin O’Keefe,@kerinokeefe,80.0,Montevetrano,Red Blend,Colli di Salerno,,Southern Italy,Italy,Montevetrano,,
40285,92,Testarossa 2012 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),"A nose of baked apple and saline minerality introduce this wine from this single-vineyard superstar winery. The palate picks up with zing, offering apple candy, lemon lime soda and a bit of bitter tension as well. The wine evolves steadily while on the tongue and is never boring.",Matt Kettmann,@mattkettmann,45.0,Bien Nacido Vineyard,Chardonnay,Santa Maria Valley,Central Coast,California,US,Testarossa,,
40286,92,Testarossa 2012 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),"Testarossa's single-vineyard expertise shines on this wine from Rosella's, which is fresh and alive on the nose with ripe nectarine and grapefruit peel. The acidity carries prominently on the palate, but the ruby-red grapefruit elements are not sharp, possessing both sweet and savory sides and finishing with some bitterness. Serve with honey-glazed seared scallops.",Matt Kettmann,@mattkettmann,45.0,Rosella's Vineyard,Chardonnay,Santa Lucia Highlands,Central Coast,California,US,Testarossa,,
40287,92,Chamisal Vineyards 2012 Califa Estate Chardonnay (Edna Valley),"“Califa” is a Native American word meaning the prettiest one, and that's what winemaker Fintan du Fresne delivers in this estate-grown wine. The lovely nose is spun tightly around citrus, white roses and limestone, while the well-integrated palate offers a touch of jasmine followed by apple elements that arise in the midpalate. Serve with shrimp paella.",Matt Kettmann,@mattkettmann,40.0,Califa Estate,Chardonnay,Edna Valley,Central Coast,California,US,Chamisal Vineyards,,
40288,92,Domaine René Bouvier 2011 Jeunes Rois  (Gevrey-Chambertin),"From slopes above the village of Gevrey-Chambertin, this densely tannic wine has a powerful structure that brings out the wood and adds licorice flavors to the bitter cherry fruits. At the end, the year's signature freshness shows more strongly.",Roger Voss,@vossroger,,Jeunes Rois,Pinot Noir,Gevrey-Chambertin,,Burgundy,France,Domaine René Bouvier,,
40289,92,Domaine Roche-Audran 2011 César White (Côtes du Rhône),"An oak-fermented blend of 90% Grenache Blanc and 10% Viognier, this is a full-bodied, richly textured wine for drinking over the near term. Nutty scents and flavors accent grilled peach and pineapple fruit, ending in a long, mouthwatering finish.",Joe Czerwinski,@JoeCz,27.0,César,Rhône-style White Blend,Côtes du Rhône,,Rhône Valley,France,Domaine Roche-Audran,,
40290,92,Domaine Rossignol-Trapet 2011 Vieilles Vignes  (Gevrey-Chambertin),"From vines averaging 50 years of age, this is powerful, ripe and concentrated. It has dark black fruits, red berries that give acidity, and a richly fruity structure. It punches well above its village appellation. Drink from 2017.",Roger Voss,@vossroger,50.0,Vieilles Vignes,Pinot Noir,Gevrey-Chambertin,,Burgundy,France,Domaine Rossignol-Trapet,,
40291,92,Bodega Carmen Rodríguez 2009 Carodorum Issos  (Toro),"Inviting aromas of balsam wood, pipe tobacco and black fruits are lusty and deep. This is big and drawing on the palate, with ribald flavors of blackberry, licorice, chocolate and mocha. A rich, chocolaty, oaky finish with controlled acidic kick and tannic bite confirm the wine's power and spirit. Drink through 2020.",Michael Schachner,@wineschach,20.0,Carodorum Issos,Tinta de Toro,Toro,,Northern Spain,Spain,Bodega Carmen Rodríguez,,
40292,92,Maison Nicolas Perrin 2010  Cornas,"This venture is doing a fine job ferreting out Northern Rhône wines and offering them at realistic prices. This is a dark, concentrated Cornas, big and richly textured while retaining crispness and delineation. Plum and blackberry notes join black olive and espresso, but the overall impression remains savory, all the way through the long, velvety finish. Drink now–2020.",Joe Czerwinski,@JoeCz,57.0,,Rhône-style Red Blend,Cornas,,Rhône Valley,France,Maison Nicolas Perrin,,
40293,92,Mauro 2008 VS Tempranillo (Vino de la Tierra de Castilla y León),"Given how cool and difficult the 2008 vintage was, this is impressive. Bold, oaky aromas of coconut, cola and mocha come with a blackberry backing. Vibrancy and hard tannins push the palate, which brings chocolaty flavors, spice and mocha along with core berry. Licorice, toast and other black flavors drive an oaky, hard finish. Drink through 2021.",Michael Schachner,@wineschach,100.0,VS,Tempranillo,Vino de la Tierra de Castilla y León,,Northern Spain,Spain,Mauro,,
40294,92,Michel & Stéphane Ogier 2010  Côte Rôtie,"This is a pretty, elegant Côte Rôtie, only medium in body, but with a lovely silky texture and a tart, lingering finish. Herbal aromas suggest green olives, and there's a hint of bacon smoke to go with flavors of tart raspberries and cherries. Drink now–2020.",Joe Czerwinski,@JoeCz,138.0,,Syrah,Côte Rôtie,,Rhône Valley,France,Michel & Stéphane Ogier,,
40295,92,:Nota Bene 2010 Conner Lee Vineyard Red Red (Columbia Valley (WA)),"This blend is made with 75% Cabernet Sauvignon and 25% Merlot—all Conner Lee fruit. Firm and supple, it's loaded with raspberry and cherry fruit that goes deep and stays balanced. One-quarter new French oak was used.",Paul Gregutt,@paulgwine ,35.0,Conner Lee Vineyard Red,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,:Nota Bene,,
40296,92,Pirouette 2011 Red (Columbia Valley (WA)),"Predominantly Cabernet, this the most interesting and complex of all the Long Shadows red blends. It's an aromatic and compelling wine with mixed scents of brambly berries and a touch of violets. Tannins are compact and fully ripe, with none of the chalky character shown in some other reds from this vintage. The juicy acidity and compact strength suggest that further cellaring will reward your patience.",Paul Gregutt,@paulgwine ,55.0,,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Pirouette,,
40297,92,Riverbench 2012 Estate Chardonnay (Santa Maria Valley),"This bottling slips in many corners of the flavor experience at once. On the nose, a bit of tropical fruit mixes with evenly spread buttercream, followed by precursor hints of bright acidity on the palate. That citrus-led vibrancy does come, as does a mix of creaminess and limestone-inflected tang, as if the rocks themselves delivered the acidity.",Matt Kettmann,@mattkettmann,26.0,Estate,Chardonnay,Santa Maria Valley,Central Coast,California,US,Riverbench,,
40298,92,Alta Maria 2012 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),"Winemakers James Ontiveros and Paul Wilkins tease awesomeness out of the legendary Bien Nacido Vineyard with this Pinot Noir—and Ontiveros should know how, since he worked for the vineyard for years. On the nose, there's sea salt, caramel, cotton candy and pepper-teriyaki steak. Although it's leaner on the palate, it still features ripe raspberries, milk chocolate and sweetened coffee.",Matt Kettmann,@mattkettmann,48.0,Bien Nacido Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Alta Maria,,
